date	frequency	type
2014-01-08-15-14-45	258.3984375	Major Frequency
2014-01-08-15-14-47	0	Major Frequency
2014-01-08-15-14-49	0	Major Frequency
2014-01-08-15-14-51	0	Major Frequency
2014-01-08-15-14-53	0	Major Frequency
2014-01-08-15-14-55	0	Major Frequency
2014-01-08-15-14-57	43.06640625	Major Frequency
2014-01-08-15-14-59	0	Major Frequency
2014-01-08-15-15-01	0	Major Frequency
2014-01-08-15-15-04	0	Major Frequency
2014-01-08-15-15-06	0	Major Frequency
2014-01-08-15-15-08	0	Major Frequency
2014-01-08-15-15-10	0	Major Frequency
2014-01-08-15-15-12	0	Major Frequency
2014-01-08-15-15-14	0	Major Frequency
2014-01-08-15-15-16	0	Major Frequency
2014-01-08-15-15-18	43.06640625	Major Frequency
2014-01-08-15-15-20	86.1328125	Major Frequency
2014-01-08-15-15-22	86.1328125	Major Frequency
2014-01-08-15-15-25	0	Major Frequency
2014-01-08-15-15-27	0	Major Frequency
2014-01-08-15-15-29	0	Major Frequency
2014-01-08-15-15-31	43.06640625	Major Frequency
2014-01-08-15-15-33	129.19921875	Major Frequency
2014-01-08-15-15-35	0	Major Frequency
2014-01-08-15-15-37	0	Major Frequency
2014-01-08-15-15-39	0	Major Frequency
2014-01-08-15-15-41	0	Major Frequency
2014-01-08-15-15-43	0	Major Frequency
2014-01-08-15-15-46	0	Major Frequency
2014-01-08-15-15-48	0	Major Frequency
2014-01-08-15-15-50	43.06640625	Major Frequency
2014-01-08-15-15-52	0	Major Frequency
2014-01-08-15-15-54	0	Major Frequency
2014-01-08-15-15-56	0	Major Frequency
2014-01-08-15-15-58	0	Major Frequency
2014-01-08-15-16-00	0	Major Frequency
2014-01-08-15-16-02	129.19921875	Major Frequency
2014-01-08-15-16-05	0	Major Frequency
2014-01-08-15-16-07	0	Major Frequency
2014-01-08-15-16-09	0	Major Frequency
2014-01-08-15-16-11	129.19921875	Major Frequency
2014-01-08-15-16-13	0	Major Frequency
2014-01-08-15-16-15	0	Major Frequency
2014-01-08-15-16-17	0	Major Frequency
2014-01-08-15-16-19	0	Major Frequency
2014-01-08-15-16-21	0	Major Frequency
2014-01-08-15-16-23	0	Major Frequency
2014-01-08-15-16-26	0	Major Frequency
2014-01-08-15-16-28	86.1328125	Major Frequency
2014-01-08-15-16-30	0	Major Frequency
2014-01-08-15-16-32	301.46484375	Major Frequency
2014-01-08-15-16-34	43.06640625	Major Frequency
2014-01-08-15-16-36	43.06640625	Major Frequency
2014-01-08-15-16-38	258.3984375	Major Frequency
2014-01-08-15-16-40	0	Major Frequency
2014-01-08-15-16-42	0	Major Frequency
2014-01-08-15-16-45	0	Major Frequency
2014-01-08-15-16-47	0	Major Frequency
2014-01-08-15-16-49	0	Major Frequency
2014-01-08-15-16-51	0	Major Frequency
2014-01-08-15-16-53	0	Major Frequency
2014-01-08-15-16-55	344.53125	Major Frequency
2014-01-08-15-16-57	43.06640625	Major Frequency
2014-01-08-15-16-59	0	Major Frequency
2014-01-08-15-17-01	43.06640625	Major Frequency
2014-01-08-15-17-04	86.1328125	Major Frequency
2014-01-08-15-17-06	0	Major Frequency
2014-01-08-15-17-08	0	Major Frequency
2014-01-08-15-17-10	215.33203125	Major Frequency
2014-01-08-15-17-12	0	Major Frequency
2014-01-08-15-17-14	0	Major Frequency
2014-01-08-15-17-16	0	Major Frequency
2014-01-08-15-17-18	0	Major Frequency
2014-01-08-15-17-20	0	Major Frequency
2014-01-08-15-17-22	0	Major Frequency
2014-01-08-15-17-25	0	Major Frequency
2014-01-08-15-17-27	0	Major Frequency
2014-01-08-15-17-29	0	Major Frequency
2014-01-08-15-17-31	0	Major Frequency
2014-01-08-15-17-33	0	Major Frequency
2014-01-08-15-17-35	0	Major Frequency
2014-01-08-15-17-37	43.06640625	Major Frequency
2014-01-08-15-17-39	86.1328125	Major Frequency
2014-01-08-15-17-41	43.06640625	Major Frequency
2014-01-08-15-17-43	0	Major Frequency
2014-01-08-15-17-46	0	Major Frequency
2014-01-08-15-17-48	0	Major Frequency
2014-01-08-15-17-50	0	Major Frequency
2014-01-08-15-17-52	86.1328125	Major Frequency
2014-01-08-15-17-54	86.1328125	Major Frequency
2014-01-08-15-17-56	0	Major Frequency
2014-01-08-15-17-58	301.46484375	Major Frequency
2014-01-08-15-18-00	0	Major Frequency
2014-01-08-15-18-02	0	Major Frequency
2014-01-08-15-18-05	0	Major Frequency
2014-01-08-15-18-07	0	Major Frequency
2014-01-08-15-18-09	86.1328125	Major Frequency
2014-01-08-15-18-11	43.06640625	Major Frequency
2014-01-08-15-18-13	430.6640625	Major Frequency
2014-01-08-15-18-15	0	Major Frequency
2014-01-08-15-18-17	43.06640625	Major Frequency
2014-01-08-15-18-19	0	Major Frequency
2014-01-08-15-18-21	43.06640625	Major Frequency
2014-01-08-15-18-23	43.06640625	Major Frequency
2014-01-08-15-18-26	86.1328125	Major Frequency
2014-01-08-15-18-28	0	Major Frequency
2014-01-08-15-18-30	0	Major Frequency
2014-01-08-15-18-32	43.06640625	Major Frequency
2014-01-08-15-18-34	86.1328125	Major Frequency
2014-01-08-15-18-36	0	Major Frequency
2014-01-08-15-18-38	0	Major Frequency
2014-01-08-15-18-40	0	Major Frequency
2014-01-08-15-18-42	43.06640625	Major Frequency
2014-01-08-15-18-45	0	Major Frequency
2014-01-08-15-18-47	0	Major Frequency
2014-01-08-15-18-49	86.1328125	Major Frequency
2014-01-08-15-18-51	0	Major Frequency
2014-01-08-15-18-53	86.1328125	Major Frequency
2014-01-08-15-18-55	0	Major Frequency
2014-01-08-15-18-57	2928.515625	Major Frequency
2014-01-08-15-18-59	0	Major Frequency
2014-01-08-15-19-01	0	Major Frequency
2014-01-08-15-19-03	0	Major Frequency
2014-01-08-15-19-06	0	Major Frequency
2014-01-08-15-19-08	86.1328125	Major Frequency
2014-01-08-15-19-10	43.06640625	Major Frequency
2014-01-08-15-19-12	129.19921875	Major Frequency
2014-01-08-15-19-14	0	Major Frequency
2014-01-08-15-19-16	86.1328125	Major Frequency
2014-01-08-15-19-18	0	Major Frequency
2014-01-08-15-19-20	0	Major Frequency
2014-01-08-15-19-22	43.06640625	Major Frequency
2014-01-08-15-19-25	0	Major Frequency
2014-01-08-15-19-27	0	Major Frequency
2014-01-08-15-19-29	43.06640625	Major Frequency
2014-01-08-15-19-31	0	Major Frequency
2014-01-08-15-19-33	0	Major Frequency
2014-01-08-15-19-35	0	Major Frequency
2014-01-08-15-19-37	0	Major Frequency
2014-01-08-15-19-39	0	Major Frequency
2014-01-08-15-19-41	0	Major Frequency
2014-01-08-15-19-43	0	Major Frequency
2014-01-08-15-19-46	0	Major Frequency
2014-01-08-15-19-48	86.1328125	Major Frequency
2014-01-08-15-19-50	129.19921875	Major Frequency
2014-01-08-15-19-52	0	Major Frequency
2014-01-08-15-19-54	0	Major Frequency
2014-01-08-15-19-56	0	Major Frequency
2014-01-08-15-19-58	0	Major Frequency
2014-01-08-15-20-00	0	Major Frequency
2014-01-08-15-20-02	387.59765625	Major Frequency
2014-01-08-15-20-05	0	Major Frequency
2014-01-08-15-20-07	0	Major Frequency
2014-01-08-15-20-09	0	Major Frequency
2014-01-08-15-20-11	0	Major Frequency
2014-01-08-15-20-13	0	Major Frequency
2014-01-08-15-20-15	0	Major Frequency
2014-01-08-15-20-17	258.3984375	Major Frequency
2014-01-08-15-20-19	43.06640625	Major Frequency
2014-01-08-15-20-21	0	Major Frequency
2014-01-08-15-20-23	0	Major Frequency
2014-01-08-15-20-26	43.06640625	Major Frequency
2014-01-08-15-20-28	0	Major Frequency
2014-01-08-15-20-30	0	Major Frequency
2014-01-08-15-20-32	215.33203125	Major Frequency
2014-01-08-15-20-34	0	Major Frequency
2014-01-08-15-20-36	0	Major Frequency
2014-01-08-15-20-38	0	Major Frequency
2014-01-08-15-20-40	0	Major Frequency
2014-01-08-15-20-42	0	Major Frequency
2014-01-08-15-20-45	0	Major Frequency
2014-01-08-15-20-47	0	Major Frequency
2014-01-08-15-20-49	0	Major Frequency
2014-01-08-15-20-51	86.1328125	Major Frequency
2014-01-08-15-20-53	0	Major Frequency
2014-01-08-15-20-55	0	Major Frequency
2014-01-08-15-20-57	0	Major Frequency
2014-01-08-15-20-59	43.06640625	Major Frequency
2014-01-08-15-21-01	129.19921875	Major Frequency
